"year","beta_wateruse","beta_elecuse","intercept_wateruse","intercept_elecuse","r2_wateruse","r2_elecuse","rmse_wateruse","rmse_elecuse","nrmse_wateruse","nrmse_elecuse","CI95lower_wateruse","CI95upper_wateruse","CI95lower_elecuse","CI95upper_elecuse"
2007,0.827182745221768,0.934555528552935,-3.11010745818371,0.720521719623312,0.678086674923049,0.865841680507018,0.547931107519319,0.312473108353576,0.560889573038566,0.362090136260618,0.649705598441054,0,0,0
2008,0.83244432234421,0.943931856124546,-3.2187764988998,0.58141700983774,0.698335071878529,0.872394978463925,0.52115066533418,0.303223766905223,0.543103363138275,0.353227057840745,0.664180376101726,0,0,0
2009,0.816702038151377,0.945772861083791,-3.04740093412175,0.539820842155312,0.695346512413067,0.867977649759736,0.513910597786212,0.309430195242197,0.545786964011602,0.359288909145446,0.650448281737461,0,0,0
2010,0.81470306672812,0.944932362202158,-3.03614385322385,0.579961968369604,0.693847941479455,0.861824707255143,0.512474757801787,0.322597034649412,0.547262806142981,0.367656744849068,0.65027963070779,0,0,0
2011,0.811132081814743,0.942120599066149,-2.98932673920738,0.602895370434546,0.704633515394309,0.873875858262783,0.500264415577952,0.310578010108624,0.537536486269337,0.351258185056258,0.651574124977772,0,0,0
2012,0.797472189849269,0.950094706797202,-2.79479092259352,0.473795025456951,0.681771472295504,0.888303486259011,0.519294402031337,0.290610098118044,0.557952073419087,0.330557602634795,0.631935747281441,0,0,0
2013,0.81339896650892,0.950344825229965,-3.07015747641693,0.465235590228067,0.68473777474968,0.878259879008729,0.52601964319333,0.30010201640395,0.555345566845045,0.34509940107438,0.645709659631098,0,0,0
2014,0.817636108190989,0.957074540383774,-3.13654996920142,0.36254561934994,0.683334216041605,0.874458461763217,0.530358371236298,0.308559336978201,0.556580403155456,0.350445964967597,0.648525061594903,0,0,0
2015,0.821611698155987,0.961371197426583,-3.21337024943113,0.289201471856367,0.693882281865623,0.871722982256898,0.519637182766459,0.311066902258433,0.547232112664686,0.354243400676145,0.65580736456618,0,0,0
2016,0.805892024125819,0.958641018207361,-2.99551193720909,0.325862124368689,0.689540269118176,0.867346973386922,0.516322443631887,0.31642945856856,0.551099452274665,0.360235013796505,0.641595790544759,0,0,0
2017,0.889543293930719,0.923489001602009,-4.21964139085957,0.810413262151406,0.746465933715491,0.851542805001027,0.454973635534582,0.307240238949743,0.497187806193391,0.380454682089732,0.719294700365028,0,0,0
2018,0.894713915792197,0.902886366054956,-4.27827366093213,1.1112203783672,0.747905997847208,0.813255130465527,0.460810237912484,0.34228696079755,0.495610788199413,0.426563640675585,0.721683769839428,0,0,0
